,ID,name,address,a1,a2,city,pCode,lat,long,dist,dUnit,phone,sCode,cCode,hours,type,brand,brandDV,typeDV
10,Bata_0518,0518 BATANAGAR NEW,A 144 NEW  A 146 NEW,A 144 NEW  A 146 NEW,,BATANAGAR,700141,22.49806,88.226983,96.73,km,8337033183,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
11,Bata_0283,0283 BALASORE-II   ,VIVEKANANDA MARG,VIVEKANANDA MARG,,BALASORE,756001,21.500818,86.929617,98.82,km,9438156756,Orissa,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
12,Bata_0281,0281 BALASORE      ,MOTIGUNJ BZ.,MOTIGUNJ BZ.,,BALASORE,756001,21.492813,86.938518,99.28,km,8102960737,Orissa,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
13,Bata_4532,4532 M/S. ADVANCE FOOTWEAR CO.,AMTALA CROSSING,AMTALA CROSSING,,AMTALA,743398,22.368729,88.271897,99.46,km,8981245887,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
14,Bata_0532,0532 IDEAL REGENCY ,"46,DIAMOND HARBOUR ROAD","46,DIAMOND HARBOUR ROAD",,KOLKATA,700063,22.461357,88.306522,104.05,km,9800595488,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
15,Bata_0076,0076 BEHALA-ASHOKA ,625 DIAMOND HARBOUR ROAD,625 DIAMOND HARBOUR ROAD,,KOLKATA,700034,22.496952,88.317101,105.79,km,9674683672,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
16,Bata_4278,4278 M/S AJIT KUMAR MISRA,KATJURIDANGA,KATJURIDANGA,,BANKURA,722102,23.247767,87.043323,106.85,km,9434033645,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
17,Bata_4210,4210 M/S NAVYAM RETAILS,WARD NO 5,WARD NO 5,,BARIPADA,757001,21.93999,86.35111,106.99,km,9238363566,Orissa,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
18,Bata_0493,0493 NEW ALIPORE   ,BANKA CHAMBERS,BANKA CHAMBERS,,KOLKATA,700053,22.513367,88.33156,107.60,km,9903234188,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
19,Bata_0082,0082 KIDDERPORE,9 CIR. GARDEN REACH ROAD,9 CIR. GARDEN REACH ROAD,,KOLKATA,700023,22.541105,88.326076,107.70,km,9836189702,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
20,Bata_0472,0472 AVANI MALL,AVANI RIVERSIDE MALL,AVANI RIVERSIDE MALL,,HOWRAH,711102,22.563181,88.323867,108.07,km,9831802706,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
21,Bata_0104,0104 HOWRAH MAIDAN ,"33 G T ROAD,SOUTH","33 G T ROAD,SOUTH",,HOWRAH,711101,22.580679,88.3328,109.45,km,9433905933,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
22,Bata_0659,0659 RASHBEHARI AVN,BATA SHOE STORES,BATA SHOE STORES,,KOLKATA,700029,22.516792,88.350003,109.53,km,7278587015,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
23,Bata_0478,0478 BANSDRONI     ,"200/1, N S C BOSE ROAD","200/1, N S C BOSE ROAD",,KOLKATA,700047,22.474411,88.361221,109.83,km,8240739851,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
24,Bata_0506,0506 SOUTH CITY FSC,S-223 SOUTH CITY MALL,S-223 SOUTH CITY MALL,,KOLKATA,700068,22.502088,88.36122,110.35,km,8240614991,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
25,Bata_0517,0517 HP - BK MARKET,NEW B.K MARKET,NEW B.K MARKET,,KOLKATA,700071,22.545845,88.35172,110.39,km,9830738932,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,hushpuppies,Hush Puppies,
26,Bata_0445,0445 SOUTH CITY MAL,S-222 SOUTH CITY MALL,S-222 SOUTH CITY MALL,,KOLKATA,700068,22.501387,88.361762,110.39,km,9831106749,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,hushpuppies,Hush Puppies,
27,Bata_0003,0003 CAMAC STREET  ,7B MIDDLETON STREET,7B MIDDLETON STREET,,KOLKATA,700071,22.548187,88.353203,110.59,km,9903688970,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,franchising,flagship,Flagship,Franchising
28,Bata_0107,0107 DOBSON RD JRV ,"48,MAULANA A.K.AZAD ROAD","48,MAULANA A.K.AZAD ROAD",,HOWRAH,711101,22.591339,88.34116,110.60,km,9433805062,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
29,Bata_0001,0001 GRAND HOTEL,15/1 JAWAHARLAL NEHRU RD.,15/1 JAWAHARLAL NEHRU RD.,,KOLKATA,700013,22.562366,88.351169,110.76,km,8770611207,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
30,Bata_0002,0002 LINDSAY STREET,6/4 LINDSAY STREET,6/4 LINDSAY STREET,,KOLKATA,700087,22.559605,88.352181,110.79,km,9804079064,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,franchising,flagship,Flagship,Franchising
31,Bata_0005,0005 HINDUSTHAN PRK,204 RASHBEHARI AVENUE,204 RASHBEHARI AVENUE,,KOLKATA,700029,22.519253,88.363385,110.93,km,9903375332,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
32,Bata_0065,0065 BATA BAZAR,7/1A S.N.BANERJEE ROAD,7/1A S.N.BANERJEE ROAD,,KOLKATA,700013,22.562313,88.354077,111.05,km,8013428327,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
33,Bata_0020,0020 GARIAHATA MARK,"210/1 AB,RASH BEHARI AV.","210/1 AB,RASH BEHARI AV.",,KOLKATA,700029,22.519285,88.365265,111.12,km,8337085435,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
34,Bata_0021,0021 GOL PARK,46/2/1A GARIAHAT ROAD,46/2/1A GARIAHAT ROAD,,KOLKATA,700029,22.516727,88.366065,111.14,km,9836360601,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
35,Bata_0490,0490 JADAVPUR 8B   ,"27G,RAJA S C MALLICK ROAD","27G,RAJA S C MALLICK ROAD",,KOLKATA,700032,22.49423,88.371269,111.21,km,9433188030,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
36,Bata_0073,0073 GARIA BUS STND,124/C RAJA S C MULLICK RD,124/C RAJA S C MULLICK RD,,KOLKATA,700047,22.466419,88.377684,111.37,km,8420344559,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
37,Bata_0595,0595 BALLYGUNJ II  ,KOHLI MANSION,KOHLI MANSION,,KOLKATA,700019,22.537798,88.364615,111.48,km,9830220103,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
38,Bata_0071,0071 SEALDAH,14 ACHARYA P.C.ROAD,14 ACHARYA P.C.ROAD,,KOLKATA,700009,22.568891,88.369882,112.80,km,9874455629,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
39,Bata_0105,0105 SINDURIAPATTY ,144/3 MAHATMA GANDHI ROAD,144/3 MAHATMA GANDHI ROAD,,KOLKATA,700007,22.570169,88.369848,112.83,km,8274849239,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
40,Bata_0633,0633 RANGOLI,SU 013 GROUND FLOOR,SU 013 GROUND FLOOR,,HOWRAH,711202,22.623819,88.353776,112.87,km,8777271796,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
41,Bata_0006,0006 COLLEGE STREET,1 BIDHAN SARANEE,1 BIDHAN SARANEE,,KOLKATA,700012,22.576863,88.368654,112.90,km,9831478477,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
42,Bata_0054,0054 RADHA CINEMA,140/1 BIDHAN SARANI,140/1 BIDHAN SARANI,,KOLKATA,700004,22.595052,88.370687,113.63,km,9831541391,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
43,Bata_0542,0542 ACROPOLIS MALL,"1858,RAJDANGA MAIN ROAD","1858,RAJDANGA MAIN ROAD",,KOLKATA,700107,22.515996,88.391937,113.74,km,8777569170,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
44,Bata_0007,0007 BAGHBAZAR     ,124A BIDHAN SARANI,124A BIDHAN SARANI,,KOLKATA,700004,22.603352,88.373209,114.13,km,9874662185,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
45,Bata_0638,0638 KAKURGACHI    ,SHOP NO G-1 SHREE HEIGHTS,SHOP NO G-1 SHREE HEIGHTS,,KOLKATA,700054,22.58048,88.387304,114.85,km,9775958093,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
46,Bata_0050,0050 BELIAGHATA CIT,"PLOT NO.1,SCHEME NO.VI M","PLOT NO.1,SCHEME NO.VI M",,KOLKATA,700054,22.573252,88.389703,114.89,km,7980285489,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
47,Bata_4514,4514 M/S. THE URBAN CREW,BATA SHOE STORE,BATA SHOE STORE,,CONTAI,721401,22.3685466,88.4269796,115.38,km,9903755243,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
48,Bata_0008,0008 ULTADANGA VIP,"161/1, C.I.T. ROAD","161/1, C.I.T. ROAD",,KOLKATA,700054,22.590948,88.392674,115.68,km,8910248413,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
49,Bata_0112,0112 SALKIA CHOWRAS,56 SRI ARABINDA ROAD,56 SRI ARABINDA ROAD,,HOWRAH,711106,22.6996,88.356531,115.92,km,9874632251,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
50,Bata_0035,0035 DUNLOP        ,"140 D, BARRACKPORE","140 D, BARRACKPORE",,KOLKATA,700108,22.648262,88.377495,116.01,km,9836360601,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
51,Bata_0558,0558 MANISQURE MALL,G - 13 MANISQUARE MALL,G - 13 MANISQUARE MALL,,KOLKATA,700054,22.578024,88.400801,116.13,km,9830751910,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
52,Bata_0679,0679 DUNLOP II,BATA SHOE STORES,BATA SHOE STORES,,KOLKATA,700108,22.65391,88.377228,116.19,km,9382004529,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
53,Bata_0460,0460 SEARAMPORE II ,"40,B.P.DEY STREET","40,B.P.DEY STREET",,SERAMPORE,712201,22.752346,88.342251,116.84,km,9874714270,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
54,Bata_4636,4636 M/S. A.T ENTERPRISE,BATA SHOE STORE,BATA SHOE STORE,,MAHESH-SERAMPORE,712202,22.740628,88.351193,117.15,km,9830463629,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
55,Bata_0527,0527 LAKE TOWN 393,"869, LAKE TOWN","869, LAKE TOWN",,KOLKATA,700089,22.60697,88.402814,117.16,km,9831514403,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
56,Bata_0587,0587 HP CITY CENTER,"GROUND FLOOR,","GROUND FLOOR,",,KOLKATA,700064,22.589211,88.4081,117.16,km,9641095965,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,hushpuppies,Hush Puppies,
57,Bata_0363,0363 CITY CENTRE   ,"DC 25/26,SALT LAKE,","DC 25/26,SALT LAKE,",,KOLKATA,700064,22.589361,88.408603,117.22,km,8100673706,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
58,Bata_0045,0045 BELGHORIA,"83 FEEDER ROAD,KAMARHATI","83 FEEDER ROAD,KAMARHATI",,KOLKATA,700056,22.661027,88.385472,117.24,km,9143557529,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
59,Bata_0131,0131 BURDWAN B T,18 BEJAY CHAND ROAD,18 BEJAY CHAND ROAD,,BURDWAN,713101,23.240099,87.865653,117.48,km,9531771375,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
60,Bata_0047,0047 DUMDUM N BAZAR,"343,JESSORE ROAD","343,JESSORE ROAD",,KOLKATA,700074,22.610728,88.407188,117.70,km,8013380676,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
61,Bata_0443,0443 CURZON GATE,"70,G.T.ROAD","70,G.T.ROAD",,BURDWAN,713101,23.24162,87.868277,117.76,km,9476148019,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
62,Bata_0533,0533 SODEPUR II    ,"1A,DAKSHINAYAN","1A,DAKSHINAYAN",,KOLKATA,700110,22.695252,88.379997,118.00,km,9143557529,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
63,Bata_0636,0636 BELGHORIA II  ,"12,MADHUSUDAN BANERJEE RD","12,MADHUSUDAN BANERJEE RD",,KOLKATA,700056,22.662146,88.393178,118.03,km,9143071445,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
64,Bata_0038,0038 BARRACKPORE   ,1670 S.N.BANERJEE ROAD,1670 S.N.BANERJEE ROAD,,BARRACKPORE,700120,22.766752,88.350147,118.24,km,9472482186,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
65,Bata_0520,0520 DCN MALL,DIAMOND CITY NORTH MALL,DIAMOND CITY NORTH MALL,,KOLKATA,700055,22.615605,88.412571,118.38,km,9836079629,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
66,Bata_0037,0037 SODEPORE,STATION ROAD,STATION ROAD,,KOLKATA,700110,22.683133,88.393416,118.82,km,9163276158,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
67,Bata_0048,0048 DUM DUM CANTT,91 S.P.MUKHERJEE ROAD,91 S.P.MUKHERJEE ROAD,,KOLKATA,700028,22.636108,88.413948,119.17,km,9434616914,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
68,Bata_0055,0055 BAGUIHATI,SURYA KIRAN APARTMENTS,SURYA KIRAN APARTMENTS,,KOLKATA,700061,22.609299,88.427029,119.62,km,6290489053,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
69,Bata_4624,4624 M/S. COMFORT FOOTPRINTS,BATA SHOE STORE,BATA SHOE STORE,,BIRATI-KOLKATA,700051,22.6638,88.4227,120.96,km,7980172446,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
70,Bata_0444,0444 CITY CENTRE II,C009 CITY CENTRE II,C009 CITY CENTRE II,,KOLKATA,700157,22.622048,88.451274,122.40,km,9836337001,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
71,Bata_0496,0496 CHANDANNGR II ,NIRMALA APARTMENT,NIRMALA APARTMENT,,CHANDANNAGAR,712136,22.864906,88.362764,124.34,km,7044474185,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
72,Bata_0492,0492 JAM SAKCHI,"HOLDING NO. 85, BESIDE","HOLDING NO. 85, BESIDE",,JAMSHEDPUR,831001,22.805224,86.205452,125.36,km,7717739774,Jharkhand,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
73,Bata_0248,0248 JAM SAKCHI MKT,SAKCHI MARKET,SAKCHI MARKET,,JAMSHEDPUR,831001,22.804947,86.205171,125.37,km,9852258970,Jharkhand,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
74,Bata_0495,0495 MADHYAMGRAM,RANGIT MALL,RANGIT MALL,,MADHYAMGRAM,700129,22.692502,88.465448,126.14,km,8777083953,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
75,Bata_0025,0025 JAM BISTUPUR  ,1/4 BISTUPUR MAIN ROAD,1/4 BISTUPUR MAIN ROAD,,JAMSHEDPUR,831001,22.793277,86.185689,126.63,km,7209835995,Jharkhand,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
76,Bata_0245,0245 JAM SAKCHI II ,40 S N P AREA,40 S N P AREA,,JAMSHEDPUR,831001,22.791727,86.180705,127.03,km,8797297315,Jharkhand,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
77,Bata_0022,0022 JODHPUR PARK,1/430 GARIAHATA ROAD (S),1/430 GARIAHATA ROAD (S),,KOLKATA,700031,22.603983,88.505312,127.24,km,8585862560,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
78,Bata_0451,0451 DAK BUNGLOW,"8, JESSORE ROAD","8, JESSORE ROAD",,KOLKATA,700124,22.711371,88.476812,127.93,km,8296605014,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
79,Bata_4504,4504 M/S. LTM ENTERPRISES,BATA SHOE STORE,BATA SHOE STORE,, ZIRO,791120,22.9013712,88.381153,127.98,km,8730848577,Arunachal Pradesh,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
80,Bata_0092,0092 BARASAT II    ,61E KNC ROAD,61E KNC ROAD,,BARASAT,743201,22.71894,88.480765,128.60,km,8420027777,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,f,,
81,Bata_0109,0109 CHINSURAH     ,"PLOT-2304, KHARUA BAZAR","PLOT-2304, KHARUA BAZAR",,CHINSURAH,712101,22.887703,88.397523,128.68,km,9051555794,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
82,Bata_0051,0051 BARASAT,82 K.B.BOSE ROAD,82 K.B.BOSE ROAD,,BARASAT,700124,22.721277,88.481183,128.73,km,9733093324,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
83,Bata_4633,4633 M/S. FIRST FORWARD,BATA SHOE STORE,BATA SHOE STORE,,BARASAT-KOLKATA,700124,22.720091,88.48749,129.29,km,9830042438,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
84,Bata_0039,0039 NAIHATI       ,48 ARABINDA MUKHERJEE RD.,48 ARABINDA MUKHERJEE RD.,,NAIHATI,743165,22.896568,88.421182,131.28,km,8509113123,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
85,Bata_0036,0036 KANCHRAPARA   ,"23 STATION RD,KANCHRAPARA","23 STATION RD,KANCHRAPARA",,KANCHRAPARA,743145,22.946497,88.450923,136.68,km,9831637758,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
86,Bata_4522,4522 M/S. FIRST FORWARD,BATA SHOE STORE,BATA SHOE STORE,,BARUIPUR,700144,22.979347,88.4351846,137.21,km,9830042438,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
87,Bata_0147,0147 DURGAPUR BENAC,537/P NACHAN ROAD,537/P NACHAN ROAD,,DURGAPUR,713213,23.562444,87.27884,138.41,km,9832142971,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
88,Bata_4492,4492 TRANSONIC CUSTOMIZATIONS PRIVA,"92/70, BATA SHOE STORE","92/70, BATA SHOE STORE",,HABRA,743263,22.8436411,88.6569086,150.47,km,7001771197,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
89,Bata_4200,4200 M/S KUSHAL BHARAT EQUIPMENTS &,KB CITY CENTER HALL,KB CITY CENTER HALL,,PURULIA,723101,23.341563,86.341923,150.74,km,9083256008,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
90,Bata_4431,4431 M/S GULMOHAR FOOTWEAR,PLOT NO. 1634,PLOT NO. 1634,,CHAKDAH,741222,23.0801028,88.5334556,151.74,km,9830539391,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
91,Bata_4329,4329 M/S GOURI ENTERPRISE,PROBHAT SORONI ROAD,PROBHAT SORONI ROAD,,BOLPUR,731204,23.666495,87.685621,154.89,km,9476341406,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
92,Bata_0470,0470 ASHRAM MORE   ,BLOCK - A,BLOCK - A,,ASANSOL,713301,23.684411,86.979106,155.59,km,9732290023,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,f,,
93,Bata_0132,0132 ASANSOL L MRKT,"G.T.ROAD, LATIF MARKET","G.T.ROAD, LATIF MARKET",,ASANSOL,713301,23.685622,86.975447,155.80,km,9933003424,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
94,Bata_0544,0544 ASANSOL G T   ,BATA SHOE STORE,BATA SHOE STORE,,ASANSOL,713301,23.686932,86.972605,156.00,km,8337807849,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
95,Bata_0458,0458 GALAXY MALL   ,"GALAXY MALL,CHITRA MORE","GALAXY MALL,CHITRA MORE",,ASANSOL,713304,23.684752,86.941642,156.49,km,9434163202,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
96,Bata_0111,0111 RANAGHAT      ,P.O.RANAGHAT,P.O.RANAGHAT,,RANAGHAT,741201,23.175443,88.568778,160.77,km,9062980158,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
97,Bata_4592,4592 M/S. ASHISH KUMAR DWIBEDI,BATA SHOE STORE,BATA SHOE STORE,,BHADRAK,756100,21.0702,86.5025,161.69,km,9777760333,Orissa,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
98,Bata_4250,4250 M/S MD AZHARUDDIN SARDAR,766/222,766/222,,BASIRHAT,743411,22.664055,88.886375,166.82,km,8348430070,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
99,Bata_4486,4486 M/S. KATWA FOOTWEAR AND ACCESS,1 ST FLOOR,1 ST FLOOR,,KATWA,713130,23.642774,88.1242489,169.44,km,8617643213,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
100,Bata_0116,0116 KRISHNAGAR M G,"50,M M GHOSH ST.","50,M M GHOSH ST.",,KRISHNANAGAR,741101,23.409442,88.491812,171.70,km,9123638660,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
101,Bata_0052,0052 BONGAON       ,"BATAMORE, BONGAON","BATAMORE, BONGAON",,BONGAON,743235,23.043053,88.830887,175.96,km,9681497485,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
102,Bata_4421,4421 M/S GOURI ENTERPRISES,"RABINDRA PALLY,DUBRAJ PUR","RABINDRA PALLY,DUBRAJ PUR",,SURI,731101,23.8948703339,87.5266763994,176.78,km,7001266065,West Bengal,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
103,Bata_0637,0637 DNB CNTR POINT,BATA SHOE STORE,BATA SHOE STORE,,DHANBAD,826001,23.788132,86.417715,187.05,km,9031819172,Jharkhand,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
104,Bata_0525,0525 DNB CITY 399  ,CITY CENTRE,CITY CENTRE,,DHANBAD,826001,23.80565,86.431008,188.10,km,9835562078,Jharkhand,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
105,Bata_0575,0575 BOKARO MALL,UNIT NUMBER 125 AND 126A,UNIT NUMBER 125 AND 126A,,BOKARO,827003,23.669296,86.151112,191.20,km,7903796432,Jharkhand,IN,MON-SUN 10:00 AM TO 10:00 PM,o,flagship,Flagship,
